student_id,semester,subject,assignment_marks,quiz_marks,attendance_percentage,midterm_marks,previous_cgpa,final_marks,final_grade
S1045,4,Mathematics,1.29,92,96,71,2.87,69.0,B
S1046,8,English,2.3,83,91,67,3.46,72.0,B+
S1047,7,English,4.9,96,100,52,3.53,82.0,A
S1048,6,Biology,2.46,55,62,70,2.32,60.0,B-
S1049,6,Chemistry,1.64,95,87,53,3.22,66.0,B
S1050,7,Economics,3.17,83,69,59,2.27,65.0,B
S1051,6,Economics,1.2,86,94,57,3.5,66.0,B
S1052,3,Biology,0.38,96,88,68,3.31,66.0,B
S1053,4,Physics,0.64,49,74,99,3.91,69.0,B
S1054,7,Physics,0.64,69,92,45,2.14,50.0,C
S1055,4,Economics,0.76,64,66,71,2.11,54.0,C
S1056,8,Economics,0.69,78,71,68,2.56,59.0,C+
S1057,1,English,3.2,59,89,82,2.52,71.0,B+
S1058,3,Chemistry,0.91,44,80,41,2.49,45.0,D
S1059,5,Mathematics,1.73,40,90,99,3.81,73.0,B+
S1060,3,Physics,4.48,69,83,62,2.5,71.0,B+
S1061,7,Economics,2.37,88,79,58,2.54,65.0,B
S1062,5,English,3.34,42,96,70,3.52,70.0,B+
S1063,1,Computer Science,0.86,84,63,90,2.9,68.0,B
S1064,7,English,0.96,53,87,44,3.55,54.0,C
S1065,2,Physics,0.2,95,79,58,2.13,56.0,C+
S1066,4,Physics,0.84,69,83,73,2.98,62.0,B-
S1067,1,English,1.39,89,91,49,2.07,58.0,C+
S1068,4,Mathematics,0.89,43,100,64,2.13,52.0,C
S1069,6,Biology,0.44,57,95,41,3.81,54.0,C
S1070,2,Physics,0.6,76,93,50,2.28,53.0,C
S1071,2,English,2.3,64,95,89,3.06,74.0,B+
S1072,1,Economics,1.03,87,61,100,2.82,72.0,B+
S1073,2,English,1.82,40,74,70,2.69,57.0,C+
S1074,5,Chemistry,2.52,92,93,95,3.8,85.0,A+
S1075,2,Biology,3.45,85,95,54,2.04,67.0,B
S1076,4,Computer Science,0.2,54,65,48,3.33,49.0,D
S1077,4,Mathematics,4.0,48,98,62,3.93,74.0,B+
S1078,7,Computer Science,3.14,54,71,58,3.12,63.0,B-
S1079,4,Biology,0.41,88,62,48,3.87,59.0,C+
S1080,7,Biology,4.37,96,77,74,2.1,77.0,A-
S1081,4,Biology,4.6,63,99,60,2.84,73.0,B+
S1082,5,Computer Science,0.31,43,80,48,2.52,45.0,D
S1083,8,Economics,1.38,51,74,67,3.46,61.0,B-
S1084,7,Biology,4.03,98,92,85,3.96,90.0,A+
S1085,3,English,3.74,97,94,90,2.51,83.0,A
S1086,6,Computer Science,0.92,76,85,46,3.31,58.0,C+
S1087,1,Biology,1.05,100,67,55,2.4,59.0,C+
S1088,4,English,1.85,76,95,55,3.13,64.0,B-
S1089,2,Economics,2.42,82,89,99,2.93,79.0,A-
S1090,8,Chemistry,3.09,99,82,72,3.94,82.0,A
S1091,4,Economics,1.84,45,73,43,3.22,53.0,C
S1092,2,Biology,2.31,78,73,43,2.7,59.0,C+
S1093,6,Computer Science,3.74,95,61,78,2.23,75.0,A-
S1094,6,Physics,0.18,85,96,79,2.3,63.0,B-
S1095,6,Biology,1.26,63,64,56,2.45,53.0,C
S1096,2,Physics,3.57,50,97,76,2.5,69.0,B
S1097,4,English,4.48,52,100,78,3.7,80.0,A
S1098,6,Chemistry,2.56,73,73,99,3.12,77.0,A-
S1099,5,Mathematics,2.66,64,98,91,3.05,76.0,A-
S1100,7,Economics,0.54,46,84,68,2.23,51.0,C
S1101,2,Chemistry,2.24,91,79,91,3.72,81.0,A
S1102,2,Biology,2.66,43,61,75,3.45,65.0,B
S1103,4,Physics,1.21,98,98,99,2.14,75.0,A-
S1104,2,Economics,1.35,47,65,77,3.42,62.0,B-
S1105,2,Physics,1.89,59,76,78,3.09,66.0,B
S1106,6,Computer Science,0.1,68,84,89,2.16,60.0,B-
S1107,4,Physics,1.61,93,87,76,2.92,71.0,B+
S1108,6,Computer Science,1.06,92,61,91,2.97,71.0,B+
S1109,7,English,1.64,90,94,100,2.33,76.0,A-
S1110,8,Economics,0.6,84,96,74,3.89,70.0,B+
S1111,7,Economics,4.45,85,64,46,3.7,74.0,B+
S1112,8,Mathematics,2.97,49,60,66,3.34,64.0,B-
S1113,6,Biology,3.4,82,99,67,2.92,75.0,A-
S1114,7,Computer Science,3.95,73,71,61,2.82,70.0,B+
S1115,4,Mathematics,2.49,96,95,53,3.3,71.0,B+
S1116,1,Physics,0.43,65,82,46,3.09,52.0,C
S1117,6,Physics,2.69,80,90,76,2.12,69.0,B
S1118,8,Mathematics,2.93,88,70,100,3.03,81.0,A
S1119,5,Economics,3.73,97,69,61,3.61,78.0,A-
S1120,8,Physics,2.16,42,62,44,2.92,51.0,C
S1121,5,English,0.64,95,73,94,2.1,68.0,B
S1122,2,English,1.42,45,75,41,3.57,52.0,C
S1123,7,Mathematics,1.82,44,69,66,2.4,55.0,C+
S1124,5,Computer Science,3.23,44,88,60,2.52,61.0,B-
S1125,8,Computer Science,2.85,93,69,93,2.33,76.0,A-
S1126,2,Mathematics,1.78,86,71,77,2.66,68.0,B
S1127,1,Computer Science,4.93,62,89,54,3.51,75.0,A-
S1128,4,Economics,3.03,88,100,60,3.04,73.0,B+
S1129,4,Economics,1.19,48,60,49,2.41,47.0,D
S1130,4,Computer Science,0.51,74,64,62,3.76,61.0,B-
S1131,5,English,0.76,59,79,97,3.76,71.0,B+
S1132,1,Computer Science,1.23,97,67,95,3.74,78.0,A-
S1133,5,Economics,0.8,88,71,78,2.48,64.0,B-
S1134,7,Chemistry,0.93,100,60,44,2.9,57.0,C+
S1135,5,Biology,1.43,98,79,40,3.97,65.0,B
S1136,1,Physics,0.87,81,87,52,3.54,62.0,B-
S1137,1,Chemistry,4.48,74,96,60,2.05,71.0,B+
S1138,7,Computer Science,0.4,89,96,65,2.13,59.0,C+
S1139,1,English,2.62,57,71,89,2.93,70.0,B+
S1140,8,Mathematics,2.05,56,96,84,3.82,73.0,B+
S1141,1,Computer Science,4.91,63,87,60,3.08,74.0,B+
S1142,4,English,0.56,42,74,92,3.0,61.0,B-
S1143,8,Biology,1.99,71,65,57,2.21,57.0,C+
S1144,8,Computer Science,4.85,74,79,76,3.31,81.0,A
S1145,7,Economics,4.33,77,73,84,3.64,83.0,A
S1146,3,Mathematics,4.09,52,61,71,2.76,68.0,B
S1147,3,English,1.29,95,68,75,3.55,71.0,B+
S1148,1,English,0.85,100,96,56,3.93,69.0,B
S1149,8,English,3.34,86,79,74,2.41,73.0,B+
S1150,3,Biology,4.65,64,85,88,3.05,82.0,A
S1151,3,Computer Science,2.78,48,88,99,2.57,72.0,B+
S1152,1,Biology,2.86,43,60,50,3.59,59.0,C+
S1153,3,Physics,1.4,53,94,60,3.16,59.0,C+
S1154,5,Physics,3.85,76,65,91,3.27,81.0,A
S1155,2,Computer Science,0.94,73,96,94,3.6,74.0,B+
S1156,7,Economics,1.62,50,64,92,2.79,64.0,B-
S1157,2,Biology,2.13,80,92,65,3.83,72.0,B+
S1158,1,Mathematics,2.54,95,73,43,3.07,65.0,B
S1159,4,English,1.21,42,71,73,2.32,54.0,C
S1160,7,English,0.57,98,79,91,3.39,74.0,B+
S1161,1,Computer Science,3.05,67,83,87,3.59,78.0,A-
S1162,8,Economics,1.44,68,93,99,2.63,72.0,B+
S1163,4,Physics,2.91,48,84,57,3.71,65.0,B
S1164,2,Physics,0.77,42,88,79,3.81,63.0,B-
S1165,1,English,2.41,64,98,74,2.55,67.0,B
S1166,8,Computer Science,2.66,73,90,80,3.97,78.0,A-
S1167,7,Biology,0.26,51,82,68,2.28,51.0,C
S1168,7,Physics,1.68,81,97,91,2.4,72.0,B+
S1169,6,Biology,0.67,48,79,68,2.37,52.0,C
S1170,8,Economics,0.32,54,82,77,3.79,62.0,B-
S1171,5,Physics,4.95,79,75,81,3.31,84.0,A
S1172,3,Physics,1.61,64,67,60,2.3,55.0,C+
S1173,4,Chemistry,4.05,44,80,81,2.88,72.0,B+
S1174,8,Physics,1.27,50,60,52,3.23,53.0,C
S1175,6,Mathematics,3.41,98,67,88,2.17,77.0,A-
S1176,3,Computer Science,3.8,73,88,80,3.76,81.0,A
S1177,3,Computer Science,2.98,63,91,56,3.61,68.0,B
S1178,1,Biology,2.36,99,97,95,3.01,82.0,A
S1179,3,Economics,2.06,54,64,48,3.93,59.0,C+
S1180,5,Physics,1.74,77,81,80,2.84,69.0,B
S1181,7,Mathematics,4.65,47,93,40,3.97,69.0,B
S1182,6,Biology,4.15,98,60,41,3.34,71.0,B+
S1183,3,Chemistry,4.83,44,85,99,3.27,83.0,A
S1184,1,Biology,0.62,87,69,87,2.33,65.0,B
S1185,5,Biology,3.65,65,89,68,3.76,76.0,A-
S1186,2,Physics,4.69,57,77,72,2.85,74.0,B+
S1187,7,Chemistry,0.91,45,76,49,2.32,47.0,D
S1188,7,Biology,0.33,76,85,89,2.03,62.0,B-
S1189,6,Mathematics,3.71,99,67,97,3.12,86.0,A+
S1190,7,Mathematics,2.87,87,99,99,3.05,84.0,A
S1191,3,Computer Science,4.21,52,71,79,3.44,75.0,A-
S1192,1,Chemistry,0.7,67,86,60,3.78,62.0,B-
S1193,7,Chemistry,3.98,44,67,67,2.16,62.0,B-
S1194,7,Computer Science,1.01,52,84,50,3.46,55.0,C+
S1195,2,Biology,0.82,56,63,94,2.37,61.0,B-
S1196,2,Chemistry,0.82,89,92,73,3.72,71.0,B+
S1197,4,Mathematics,4.07,79,60,47,3.64,70.0,B+
S1198,5,Mathematics,3.33,84,78,98,3.08,83.0,A
S1199,3,Physics,2.62,71,90,61,3.42,69.0,B
S1200,7,Chemistry,1.79,68,75,47,2.63,56.0,C+
S1201,8,Biology,4.39,90,73,88,2.94,84.0,A
S1202,7,Computer Science,1.96,97,64,54,3.64,68.0,B
S1203,1,Computer Science,4.08,42,100,56,2.92,66.0,B
S1204,4,Biology,2.2,95,85,99,2.72,80.0,A
S1205,5,Economics,1.88,79,87,62,2.99,66.0,B
S1206,8,English,2.31,73,61,63,3.66,67.0,B
S1207,4,Physics,1.51,79,65,84,2.67,67.0,B
S1208,6,Computer Science,3.74,66,68,58,2.35,64.0,B-
S1209,5,Chemistry,2.51,52,92,44,3.42,60.0,B-
S1210,7,Physics,1.16,84,100,71,3.65,71.0,B+
S1211,7,Chemistry,4.5,72,84,83,2.2,77.0,A-
S1212,5,Economics,1.92,45,72,40,2.48,48.0,D
S1213,7,Mathematics,2.72,63,68,62,2.28,60.0,B-
S1214,3,Physics,4.53,58,72,76,2.7,73.0,B+
S1215,5,Computer Science,3.12,55,90,47,2.9,61.0,B-
S1216,4,Physics,0.58,79,100,52,3.5,61.0,B-
S1217,5,Physics,4.7,67,70,47,3.3,70.0,B+
S1218,8,Physics,3.14,72,63,96,3.24,78.0,A-
S1219,7,English,1.67,98,93,62,2.7,68.0,B
S1220,3,Physics,0.7,98,97,82,3.68,75.0,A-
S1221,3,Chemistry,3.97,87,63,40,2.94,66.0,B
S1222,6,Mathematics,3.1,80,97,84,3.96,83.0,A
S1223,4,Economics,2.67,52,78,90,3.27,72.0,B+
S1224,2,Biology,4.47,82,65,63,2.25,71.0,B+
S1225,2,Physics,3.94,84,93,74,3.35,81.0,A
S1226,5,Computer Science,0.76,64,77,63,2.65,56.0,C+
S1227,6,Physics,1.56,92,72,56,3.37,65.0,B
S1228,1,Computer Science,1.24,81,100,44,2.14,55.0,C+
S1229,5,Chemistry,3.72,75,82,59,2.35,68.0,B
S1230,6,Computer Science,0.17,66,78,60,3.71,58.0,C+
S1231,4,Biology,2.85,77,70,79,2.45,70.0,B+
S1232,4,Mathematics,3.81,99,60,97,3.67,88.0,A+
S1233,4,Computer Science,4.38,46,83,70,2.56,69.0,B
S1234,4,Computer Science,1.71,44,66,85,3.29,64.0,B-
S1235,4,Mathematics,4.11,82,84,75,3.39,81.0,A
S1236,6,Biology,0.55,84,80,50,3.03,57.0,C+
S1237,6,Physics,4.23,97,74,91,2.61,84.0,A
S1238,3,Computer Science,0.64,96,60,54,2.43,56.0,C+
S1239,8,Mathematics,1.99,90,71,58,2.07,61.0,B-
S1240,2,Chemistry,3.99,70,66,46,2.61,63.0,B-
S1241,7,Mathematics,0.75,62,74,90,3.31,66.0,B
S1242,4,Chemistry,1.15,81,80,67,3.88,68.0,B
S1243,1,Biology,3.61,49,78,90,3.74,78.0,A-
S1244,7,Physics,3.6,71,88,82,3.53,80.0,A
S1245,6,Mathematics,3.21,82,84,97,3.58,85.0,A+
S1246,1,Economics,3.47,92,92,44,3.33,71.0,B+
S1247,1,Economics,2.71,69,91,44,2.52,60.0,B-
S1248,1,English,1.26,78,94,69,3.81,70.0,B+
S1249,3,Computer Science,1.73,70,97,93,3.34,75.0,A-
S1250,6,Biology,0.91,57,85,71,3.12,60.0,B-
S1251,1,Mathematics,4.54,75,70,47,2.22,65.0,B
S1252,4,Economics,2.92,41,94,49,2.89,58.0,C+
S1253,5,Computer Science,2.0,53,67,77,2.92,63.0,B-
S1254,1,Economics,2.31,52,73,86,3.73,71.0,B+
S1255,3,Mathematics,4.74,68,69,71,3.09,76.0,A-
S1256,7,Chemistry,0.77,51,61,87,2.76,59.0,C+
S1257,6,Mathematics,2.93,78,68,67,3.95,74.0,B+
S1258,8,English,2.53,41,62,56,2.22,52.0,C
S1259,3,Mathematics,3.06,71,80,70,2.85,70.0,B+
S1260,1,Mathematics,0.09,52,85,47,2.08,44.0,F
S1261,6,English,4.36,85,67,79,3.48,82.0,A
S1262,5,Biology,4.66,66,61,64,3.84,76.0,A-
S1263,1,Mathematics,2.83,88,65,48,2.56,63.0,B-
S1264,3,English,3.48,80,87,41,3.72,70.0,B+
S1265,2,Computer Science,4.61,56,88,54,2.58,68.0,B
S1266,4,Chemistry,3.54,79,85,89,3.82,84.0,A
S1267,8,Chemistry,0.76,70,84,42,3.51,56.0,C+
S1268,7,Mathematics,2.88,73,71,88,3.61,78.0,A-
S1269,3,Biology,3.03,99,64,75,2.04,71.0,B+
S1270,6,Biology,2.12,63,93,43,3.93,63.0,B-
S1271,8,Computer Science,3.68,84,96,53,3.45,74.0,B+
S1272,8,Mathematics,4.67,74,74,80,2.61,78.0,A-
S1273,8,Chemistry,4.63,87,95,80,3.66,88.0,A+
S1274,1,Biology,2.25,45,74,64,2.56,57.0,C+
S1275,4,Mathematics,0.57,58,82,97,3.75,70.0,B+
S1276,1,Economics,4.92,69,65,94,2.23,79.0,A-
S1277,6,Biology,4.19,46,80,89,3.41,78.0,A-
S1278,1,English,0.62,49,82,49,3.08,51.0,C
S1279,2,Economics,4.6,80,75,60,2.19,71.0,B+
S1280,4,Biology,4.35,71,74,75,2.48,74.0,B+
S1281,4,Chemistry,2.59,73,84,51,2.02,59.0,C+
S1282,6,Physics,2.96,67,95,66,2.94,69.0,B
S1283,7,Economics,2.0,99,70,79,2.6,72.0,B+
S1284,2,Computer Science,0.27,54,74,41,3.2,48.0,D
S1285,3,Computer Science,1.68,69,63,93,2.59,68.0,B
S1286,1,Chemistry,4.01,76,80,52,2.6,68.0,B
S1287,5,Biology,0.02,68,72,92,3.49,66.0,B
S1288,1,Mathematics,1.67,61,81,71,2.1,59.0,C+
S1289,8,Biology,1.99,43,78,70,3.81,64.0,B-
S1290,1,Chemistry,2.69,59,93,55,3.7,67.0,B
S1291,3,Computer Science,4.6,71,73,71,3.34,78.0,A-
S1292,1,Biology,1.73,75,63,71,3.19,65.0,B
S1293,2,Computer Science,1.73,89,86,99,3.78,82.0,A
S1294,2,Economics,3.69,43,88,73,2.37,66.0,B
S1295,4,Mathematics,2.26,66,87,50,2.16,57.0,C+
S1296,6,Economics,1.12,56,94,49,2.48,52.0,C
S1297,7,Computer Science,2.26,51,67,54,3.59,60.0,B-
S1298,5,Computer Science,0.7,61,75,56,2.07,50.0,C
S1299,8,Physics,0.88,56,95,79,3.17,64.0,B-
S1300,1,Physics,2.49,49,89,57,3.99,66.0,B
S1301,1,Economics,2.09,93,77,94,3.71,81.0,A
S1302,3,English,4.57,40,61,48,3.04,62.0,B-
S1303,6,Economics,1.81,61,72,64,2.13,56.0,C+
S1304,2,Physics,2.9,65,63,79,3.66,73.0,B+
S1305,5,Computer Science,3.16,95,85,98,3.2,86.0,A+
S1306,4,Chemistry,0.07,98,84,53,2.23,55.0,C+
S1307,2,Economics,3.32,57,89,99,2.19,74.0,B+
S1308,8,Computer Science,0.89,89,70,97,3.82,77.0,A-
S1309,6,Chemistry,4.81,53,66,64,3.34,72.0,B+
S1310,8,Chemistry,0.74,86,90,89,3.66,74.0,B+
S1311,7,Physics,2.07,68,69,61,3.76,66.0,B
S1312,4,Economics,0.43,51,98,91,3.14,65.0,B
S1313,7,Biology,4.98,75,72,69,3.03,78.0,A-
S1314,3,Mathematics,2.51,98,90,59,2.86,71.0,B+
S1315,8,Physics,2.98,74,66,60,2.63,64.0,B-
S1316,3,Physics,0.34,91,95,83,2.87,68.0,B
S1317,1,Biology,3.75,100,79,71,3.55,82.0,A
S1318,7,Mathematics,1.05,51,63,90,3.2,64.0,B-
S1319,6,Computer Science,4.49,46,66,85,3.79,78.0,A-
S1320,8,English,1.03,68,60,88,2.89,65.0,B
S1321,5,Economics,0.95,50,72,95,3.21,66.0,B
S1322,4,English,0.18,72,81,60,3.26,58.0,C+
S1323,2,Computer Science,2.36,45,80,74,3.18,65.0,B
S1324,6,Physics,2.82,86,81,97,3.41,83.0,A
S1325,6,Mathematics,0.33,54,87,71,2.47,54.0,C
S1326,3,Physics,3.88,71,68,69,3.02,72.0,B+
S1327,7,Chemistry,2.27,90,85,94,2.21,75.0,A-
S1328,8,Physics,2.62,50,68,78,2.77,65.0,B
S1329,8,Physics,2.2,97,74,88,2.98,77.0,A-
S1330,1,Computer Science,2.0,62,69,51,3.3,59.0,C+
S1331,1,Computer Science,2.8,65,83,80,3.9,76.0,A-
S1332,4,Computer Science,0.78,73,67,86,3.2,66.0,B
S1333,3,English,0.91,85,83,57,3.49,63.0,B-
S1334,6,Chemistry,4.31,73,75,60,3.01,72.0,B+
S1335,8,Computer Science,4.73,68,85,52,3.27,73.0,B+
S1336,5,Mathematics,1.87,43,86,60,2.14,53.0,C
S1337,3,English,1.35,56,96,47,2.51,53.0,C
S1338,4,Biology,3.22,74,63,85,2.72,73.0,B+
S1339,4,Mathematics,2.04,52,83,79,2.94,65.0,B
S1340,3,Economics,0.13,80,78,85,2.09,60.0,B-
S1341,4,Economics,0.78,78,95,46,2.28,53.0,C
S1342,3,Mathematics,3.58,54,98,62,2.55,66.0,B
S1343,2,Computer Science,3.29,94,69,83,3.94,83.0,A
S1344,3,Biology,0.14,68,84,71,2.66,57.0,C+
S1345,7,Biology,1.11,68,77,50,2.96,56.0,C+
S1346,3,English,1.16,50,78,61,2.39,53.0,C
S1347,4,Biology,3.36,91,95,61,3.22,76.0,A-
S1348,8,Economics,0.1,71,69,82,2.56,59.0,C+
S1349,7,Chemistry,0.52,41,92,64,2.41,51.0,C
S1350,4,Computer Science,4.0,86,64,61,3.03,73.0,B+
S1351,1,Biology,0.89,53,94,67,2.01,54.0,C
S1352,1,English,3.26,59,93,68,2.02,65.0,B
S1353,8,Economics,1.19,61,92,52,2.44,54.0,C
S1354,8,Chemistry,0.5,50,80,57,2.07,47.0,D
S1355,7,Physics,1.22,66,76,41,2.22,49.0,D
S1356,2,Physics,3.61,42,81,68,2.68,65.0,B
S1357,8,Chemistry,4.28,56,96,60,3.61,74.0,B+
S1358,1,Economics,4.15,83,74,54,3.14,72.0,B+
S1359,3,English,1.99,95,94,91,3.03,79.0,A-
S1360,4,Chemistry,3.34,67,87,66,2.59,68.0,B
S1361,1,Computer Science,1.02,68,66,89,3.86,70.0,B+
S1362,1,Computer Science,1.47,60,91,70,2.79,62.0,B-
S1363,2,Physics,4.48,86,70,54,2.17,69.0,B
S1364,7,Biology,0.07,55,69,90,3.23,61.0,B-
S1365,7,English,0.43,76,68,62,2.23,53.0,C
S1366,6,Physics,1.04,98,73,63,2.69,63.0,B-
S1367,2,Biology,0.13,59,72,83,3.01,59.0,C+
S1368,3,Biology,0.91,45,84,52,3.75,55.0,C+
S1369,7,Computer Science,2.92,58,61,61,2.99,63.0,B-
S1370,4,Economics,2.11,96,94,82,3.4,79.0,A-
S1371,8,Mathematics,4.46,44,66,76,3.99,76.0,A-
S1372,2,Economics,4.09,42,80,100,2.26,74.0,B+
S1373,8,Mathematics,1.71,98,77,72,2.55,68.0,B
S1374,1,Chemistry,1.3,40,62,95,2.79,62.0,B-
S1375,4,Computer Science,1.9,97,98,42,2.84,64.0,B-
S1376,4,Biology,2.95,99,100,93,2.82,84.0,A
S1377,1,English,1.34,77,70,58,3.82,64.0,B-
S1378,2,Mathematics,3.12,54,98,62,3.43,69.0,B
S1379,1,Economics,2.05,73,83,68,3.22,68.0,B
S1380,8,Biology,2.76,100,78,69,2.62,73.0,B+
S1381,6,Mathematics,2.18,74,63,78,3.65,71.0,B+
S1382,4,Mathematics,1.47,88,85,83,3.91,76.0,A-
S1383,5,Mathematics,4.74,64,97,86,3.64,85.0,A+
S1384,5,English,3.82,63,91,64,2.0,66.0,B
S1385,8,Computer Science,0.7,51,98,76,3.27,62.0,B-
S1386,3,English,4.34,57,95,86,2.1,75.0,A-
S1387,7,Physics,2.44,54,99,47,2.52,57.0,C+
S1388,1,Biology,4.47,83,96,81,2.12,79.0,A-
S1389,1,Computer Science,4.0,55,92,97,3.21,81.0,A
S1390,3,Computer Science,2.13,66,95,55,3.37,65.0,B
S1391,3,Computer Science,0.11,47,62,47,2.23,41.0,F
S1392,8,Economics,1.34,99,68,40,2.77,58.0,C+
S1393,8,Computer Science,2.71,85,67,83,2.91,74.0,B+
S1394,3,English,3.17,64,92,44,2.74,62.0,B-
S1395,4,Computer Science,1.29,56,65,42,2.24,47.0,D
S1396,8,Chemistry,0.7,68,100,40,2.84,53.0,C
S1397,6,Biology,4.17,92,98,43,3.5,75.0,A-
S1398,8,Computer Science,4.92,47,63,79,2.14,70.0,B+
S1399,1,Biology,2.63,54,72,74,2.16,62.0,B-
S1400,8,Chemistry,0.86,66,61,71,2.71,58.0,C+
S1401,4,Chemistry,1.36,85,64,81,3.88,73.0,B+
S1402,3,Biology,0.09,89,86,73,3.34,65.0,B
S1403,1,Mathematics,4.57,91,91,82,3.36,87.0,A+
S1404,8,Physics,0.59,46,80,64,2.72,52.0,C
S1405,4,Economics,2.88,42,67,49,3.19,57.0,C+
S1406,6,Mathematics,1.37,68,97,60,2.02,57.0,C+
S1407,8,Mathematics,2.77,83,67,85,3.27,76.0,A-
S1408,4,English,3.26,92,62,78,3.83,80.0,A
S1409,6,Economics,4.15,63,62,66,3.23,71.0,B+
S1410,3,Economics,1.03,99,81,66,3.75,71.0,B+
S1411,8,Mathematics,0.05,97,65,41,3.45,56.0,C+
S1412,6,Computer Science,0.68,42,61,80,2.24,52.0,C
S1413,1,English,4.5,59,82,87,3.8,83.0,A
S1414,3,English,4.37,85,61,52,2.13,67.0,B
S1415,1,Chemistry,2.99,54,97,48,3.07,62.0,B-
S1416,5,Economics,3.0,64,76,91,2.28,71.0,B+
S1417,2,Mathematics,3.33,69,94,75,2.02,69.0,B
S1418,8,Chemistry,0.88,53,93,61,2.84,56.0,C+
S1419,6,Biology,4.57,46,82,81,2.59,73.0,B+
S1420,2,Physics,2.09,56,89,65,2.97,63.0,B-
S1421,2,English,1.92,83,67,97,3.15,76.0,A-
S1422,6,Biology,2.59,59,81,93,2.09,69.0,B
S1423,3,Biology,0.23,75,95,51,2.25,52.0,C
S1424,8,Computer Science,0.83,48,64,56,3.12,52.0,C
S1425,5,Physics,3.69,77,72,53,2.69,67.0,B
S1426,1,Biology,0.41,87,88,53,3.46,61.0,B-
S1427,4,Biology,3.02,96,90,96,3.3,86.0,A+
S1428,1,Physics,1.23,99,75,73,3.69,73.0,B+
S1429,4,Physics,1.95,61,89,92,3.38,73.0,B+
S1430,1,Biology,1.44,93,75,96,2.86,75.0,A-
S1431,6,Physics,1.78,92,71,59,3.35,67.0,B
S1432,5,Biology,3.6,92,76,50,2.55,68.0,B
S1433,8,Biology,1.49,41,75,55,2.61,51.0,C
S1434,4,Computer Science,2.83,63,71,90,3.58,76.0,A-
S1435,8,Mathematics,2.38,47,67,70,2.89,61.0,B-
S1436,8,Biology,3.32,50,79,94,3.6,77.0,A-
S1437,8,Chemistry,4.68,52,62,45,3.64,67.0,B
S1438,7,English,3.66,56,75,95,3.72,80.0,A
S1439,3,Economics,1.07,47,89,58,3.83,59.0,C+
S1440,1,Mathematics,0.16,60,82,76,2.86,58.0,C+
S1441,8,Mathematics,1.31,57,87,97,2.64,68.0,B
S1442,1,Mathematics,2.98,69,99,43,3.16,64.0,B-
S1443,8,Computer Science,0.26,57,64,86,2.74,58.0,C+
